Volume;Material
2.73;Concrete
8.74;Concrete
0.95;Concrete
1.62;Concrete
2.84;Concrete
1.62;Concrete
1.62;Concrete
1.16;Concrete
1.38;Concrete
1.81;Concrete
1.94;Concrete
2.02;Concrete
2.02;Concrete
1.62;Concrete
1.62;Concrete
1.61;Concrete
2.16;Concrete
2.73;Concrete
8.16;Concrete
1.62;Concrete
2.84;Concrete
1.62;Concrete
1.62;Concrete
1.16;Concrete
0.77;Concrete
1.81;Concrete
1.94;Concrete
1.41;Concrete
1.41;Concrete
1.62;Concrete
1.62;Concrete
1.61;Concrete
2.16;Concrete
2.73;Concrete
8.24;Concrete
1.39;Concrete
1.63;Concrete
2.11;Concrete
2.26;Concrete
2.35;Concrete
2.35;Concrete
2.43;Concrete
1.73;Concrete
0.05;Concrete
0.06;Concrete
0.06;Concrete
0.06;Concrete
0.06;Concrete
0.06;Concrete
0.06;Concrete
0.06;Concrete
0.06;Concrete
0.06;Concrete
0.03;Concrete
0.0;Concrete
0.03;Concrete
0.0;Concrete
0.03;Concrete
0.0;Concrete
0.03;Concrete
0.0;Concrete
0.03;Concrete
0.0;Concrete
0.03;Concrete
0.0;Concrete
0.03;Concrete
0.03;Concrete
0.06;Concrete
0.06;Concrete
0.06;Concrete
0.06;Concrete
0.06;Concrete
0.06;Concrete
0.06;Concrete
0.06;Concrete
0.06;Concrete
0.06;Concrete
0.06;Concrete
0.06;Concrete
0.06;Concrete
0.06;Concrete
0.06;Concrete
0.06;Concrete
0.06;Concrete
0.06;Concrete
0.06;Concrete
0.06;Concrete
13.58;Concrete
0.03;Concrete
0.03;Concrete
0.04;Concrete
0.09;Concrete
22.6;Concrete
10.84;Concrete
2.27;Concrete
1.62;Concrete
0.5;Concrete
1.55;Concrete
2.94;Concrete
1.55;Concrete
3.36;Concrete
3.3;Concrete
1.47;Concrete
3.1;Concrete
1.47;Concrete
2.96;Concrete
1.47;Concrete
3.98;Concrete
3.29;Concrete
1.14;Concrete
3.43;Concrete
1.14;Concrete
3.29;Concrete
1.14;Concrete
3.43;Concrete
1.2;Concrete
3.29;Concrete
1.2;Concrete
3.43;Concrete
1.2;Concrete
4.18;Concrete
1.53;Concrete
8.22;Concrete
8.22;Concrete
8.22;Concrete
10.78;Concrete
8.98;Concrete
8.98;Concrete
8.64;Concrete
0.94;Concrete
5.35;Concrete
5.35;Concrete
4.97;Concrete
4.97;Concrete
5.08;Concrete
5.08;Concrete
4.68;Concrete
4.68;Concrete
4.79;Concrete
6.27;Concrete
6.73;Concrete
1.96;Concrete
4.57;Concrete
6.73;Concrete
2.55;Concrete
4.57;Concrete
6.44;Concrete
2.55;Concrete
4.42;Concrete
8.26;Concrete
3.27;Concrete
5.63;Concrete
0.9;Concrete
0.95;Concrete
0.9;Concrete
0.1;Concrete
0.1;Concrete
0.08;Concrete
0.09;Concrete
0.08;Concrete
0.06;Concrete
0.89;Concrete
1.82;Concrete
3.2;Concrete
1.82;Concrete
1.82;Concrete
1.74;Concrete
1.74;Concrete
3.07;Concrete
1.82;Concrete
3.2;Concrete
1.82;Concrete
1.82;Concrete
1.82;Concrete
1.82;Concrete
3.07;Concrete
0.9;Concrete
1.82;Concrete
3.2;Concrete
1.82;Concrete
1.82;Concrete
1.82;Concrete
1.82;Concrete
0.9;Concrete
3.07;Concrete
1.79;Concrete
1.08;Concrete
1.14;Concrete
1.08;Concrete
1.79;Concrete
1.08;Concrete
2.74;Concrete
4.08;Concrete
1.52;Concrete
0.95;Concrete
0.91;Concrete
0.95;Concrete
1.52;Concrete
0.83;Concrete
2.85;Concrete
0.83;Concrete
2.85;Concrete
0.83;Concrete
2.85;Concrete
0.83;Concrete
2.85;Concrete
0.85;Concrete
0.39;Concrete
0.29;Concrete
0.66;Concrete
0.71;Concrete
0.5;Concrete
0.71;Concrete
0.08;Concrete
3.23;Concrete
0.33;Concrete
0.37;Concrete
0.33;Concrete
0.33;Concrete
0.33;Concrete
0.33;Concrete
0.33;Concrete
0.33;Concrete
0.47;Concrete
2.61;Concrete
2.92;Concrete
2.33;Concrete
2.62;Concrete
2.63;Concrete
2.62;Concrete
0.72;Concrete
0.63;Concrete
0.63;Concrete
0.11;Concrete
0.39;Concrete
0.01;Concrete
0.01;Concrete
0.01;Concrete
0.01;Concrete
0.01;Concrete
0.01;Concrete
0.01;Concrete
0.09;Concrete
0.01;Concrete
0.01;Concrete
0.01;Concrete
0.01;Concrete
0.01;Concrete
0.0;Concrete
0.0;Concrete
0.0;Concrete
2.59;Concrete
1.2;Concrete
1.04;Concrete
5.06;Concrete
1.96;Concrete
2.79;Concrete
1.75;Concrete
0.01;Concrete
0.49;Concrete
1.88;Concrete
14.08;Concrete
2.47;Concrete
4.63;Concrete
0.71;Concrete
0.02;Concrete
1.31;Concrete
0.35;Concrete
1.81;Concrete
0.95;Concrete
1.81;Concrete
0.72;Concrete
0.49;Concrete
0.27;Concrete
0.68;Concrete
3.8;Concrete
9.45;Concrete
3.18;Concrete
8.27;Concrete
9.1;Concrete
0.66;Concrete
0.3;Concrete
5.18;Concrete
1.76;Concrete
2.6;Concrete
17.93;Concrete
1.35;Concrete
1.0;Concrete
0.2;Concrete
0.2;Concrete
1.0;Concrete
1.0;Concrete
0.2;Concrete
2.33;Concrete
3.18;Concrete
0.0;Concrete
2.33;Concrete
3.8;Concrete
0.0;Concrete
2.31;Concrete
4.66;Concrete
2.33;Concrete
3.37;Concrete
2.33;Concrete
3.33;Concrete
2.64;Concrete
1.75;Concrete
5.75;Concrete
0.1;Concrete
0.8;Concrete
2.03;Concrete
0.51;Concrete
2.33;Concrete
2.33;Concrete
2.33;Concrete
0.87;Concrete
0.41;Concrete
0.87;Concrete
0.36;Concrete
3.61;Concrete
1.6;Concrete
1.56;Concrete
1.6;Concrete
12.95;Concrete
2.5;Concrete
12.61;Concrete
3.68;Concrete
5.5;Concrete
0.38;Concrete
0.37;Concrete
0.04;Concrete
0.71;Concrete
0.25;Concrete
0.37;Concrete
0.43;Concrete
1.08;Concrete
0.36;Concrete
1.22;Concrete
0.08;Concrete
0.08;Concrete
0.07;Concrete
0.07;Concrete
0.1;Concrete
0.08;Concrete
1.73;Concrete
0.1;Concrete
0.1;Concrete
0.08;Concrete
0.08;Concrete
0.08;Concrete
0.08;Concrete
0.1;Concrete
0.09;Concrete
0.09;Concrete
0.08;Concrete
5.12;Concrete
0.01;Concrete
0.04;Concrete
0.08;Concrete
0.08;Concrete
0.08;Concrete
0.03;Concrete
7.52;Concrete
7.33;Concrete
0.36;Concrete
1.49;Concrete
0.68;Concrete
2.06;Concrete
1.19;Concrete
0.98;Concrete
0.54;Concrete
0.21;Concrete
11.04;Concrete
7.29;Concrete
11.69;Concrete
3.07;Concrete
4.34;Concrete
3.31;Concrete
54.69;Concrete
198.73;Concrete
126.1;Concrete
9.48;Concrete
121.67;Concrete
6.56;Concrete
32.8;Concrete
37.58;Concrete
31.7;Concrete
26.33;Concrete
43.06;Concrete
4.84;Concrete
28.7;Concrete
115.17;Concrete
128.58;Concrete
18.01;Concrete
64.68;Concrete
70.02;Concrete
10.31;Concrete
3.79;Concrete
2.47;Concrete
20.32;Concrete
17.89;Concrete
38.86;Concrete
3.54;Concrete
16.39;Concrete
17.41;Concrete
4.07;Concrete
38.58;Concrete
2.57;Concrete
7.61;Concrete
27.69;Concrete
4.54;Concrete
43.07;Concrete
247.87;Concrete
46.09;Concrete
193.47;Concrete
47.49;Concrete
115.16;Concrete
3.55;Concrete
80.76;Concrete
21.17;Concrete
49.72;Concrete
37.49;Concrete
29.49;Concrete
49.49;Concrete
28.36;Concrete
248.44;Concrete
194.75;Concrete
47.32;Concrete
115.47;Concrete
3.31;Concrete
88.76;Concrete
21.28;Concrete
49.4;Concrete
25.36;Concrete
129.0;Concrete
19.42;Concrete
65.51;Concrete
2.68;Concrete
10.37;Concrete
3.79;Concrete
26.58;Concrete
34.83;Concrete
24.43;Concrete
9.96;Concrete
248.41;Concrete
36.0;Concrete
201.61;Concrete
48.83;Concrete
115.7;Concrete
88.83;Concrete
21.37;Concrete
51.03;Concrete
129.28;Concrete
36.06;Concrete
255.39;Concrete
128.77;Concrete
145.52;Concrete
36.03;Concrete
27.69;Concrete
128.56;Concrete
128.84;Concrete
128.84;Concrete
10.31;Concrete
3.79;Concrete
2.33;Concrete
17.33;Concrete
38.49;Concrete
2.57;Concrete
64.11;Concrete
2.56;Concrete
6.81;Concrete
3.28;Concrete
1.84;Concrete
6.53;Concrete
3.49;Concrete
3.48;Concrete
5.05;Concrete
5.05;Concrete
5.05;Concrete
5.05;Concrete
5.04;Concrete
64.0;Concrete
4.96;Concrete
4.97;Concrete
13.1;Concrete
48.35;Concrete
5.34;Concrete
6.18;Concrete
1.0;Concrete
1.28;Concrete
0.93;Concrete
35.89;Concrete
65.51;Concrete
2.68;Concrete
10.37;Concrete
3.79;Concrete
2.57;Concrete
128.8;Concrete
48.95;Concrete
65.5;Concrete
2.68;Concrete
10.36;Concrete
3.79;Concrete
2.56;Concrete
65.5;Concrete
2.68;Concrete
10.36;Concrete
3.79;Concrete
2.56;Concrete
65.49;Concrete
2.68;Concrete
10.37;Concrete
3.79;Concrete
2.56;Concrete
5.03;Concrete
65.78;Concrete
2.71;Concrete
10.36;Concrete
3.79;Concrete
62.33;Concrete
2.56;Concrete
65.61;Concrete
2.71;Concrete
10.36;Concrete
3.79;Concrete
55.2;Concrete
2.56;Concrete
3.49;Concrete
65.63;Concrete
2.71;Concrete
10.36;Concrete
3.79;Concrete
55.33;Concrete
2.56;Concrete
3.49;Concrete
65.63;Concrete
2.71;Concrete
10.37;Concrete
3.79;Concrete
55.36;Concrete
2.56;Concrete
3.49;Concrete
65.63;Concrete
2.71;Concrete
10.36;Concrete
3.79;Concrete
64.0;Concrete
2.56;Concrete
65.79;Concrete
10.36;Concrete
3.79;Concrete
2.56;Concrete
3.49;Concrete
64.0;Concrete
65.79;Concrete
10.37;Concrete
3.79;Concrete
2.56;Concrete
3.49;Concrete
64.0;Concrete
65.79;Concrete
10.37;Concrete
3.79;Concrete
2.56;Concrete
6.16;Concrete
64.0;Concrete
65.76;Concrete
10.36;Concrete
3.79;Concrete
2.56;Concrete
9.21;Concrete
8.79;Concrete
0.8;Concrete
5.48;Concrete
7.49;Concrete
0.14;Concrete
3.49;Concrete
3.36;Concrete
1.48;Concrete
2.6;Concrete
1.25;Concrete
0.58;Concrete
1.33;Concrete
0.52;Concrete
2.44;Concrete
2.52;Concrete
2.54;Concrete
2.54;Concrete
2.07;Concrete
69.87;Concrete
69.87;Concrete
69.87;Concrete
70.02;Concrete
70.3;Concrete
50.07;Concrete
3.58;Concrete
2.15;Concrete
2.15;Concrete
2.15;Concrete
2.15;Concrete
2.15;Concrete
2.15;Concrete
2.15;Concrete
6.15;Concrete
2.15;Concrete
2.15;Concrete
2.15;Concrete
2.15;Concrete
2.15;Concrete
2.15;Concrete
2.15;Concrete
7.03;Concrete
7.04;Concrete
5.66;Concrete
3.98;Concrete
6.77;Concrete
4.46;Concrete
60.4;Concrete
9.2;Concrete
3.76;Concrete
2.91;Concrete
6.31;Concrete
59.93;Concrete
12.18;Concrete
3.8;Concrete
8.72;Concrete
117.73;Concrete
0.94;Concrete
64.65;Concrete
3.03;Concrete
2.6;Concrete
2.38;Concrete
2.23;Concrete
0.16;Concrete
0.86;Concrete
7.63;Concrete
0.51;Concrete
0.52;Concrete
0.52;Concrete
0.52;Concrete
0.52;Concrete
0.52;Concrete
0.52;Concrete
0.52;Concrete
0.52;Concrete
0.52;Concrete
0.52;Concrete
0.52;Concrete
0.52;Concrete
0.52;Concrete
0.52;Concrete
0.49;Concrete
0.49;Concrete
0.49;Concrete
5.19;Concrete
