Volume;Material
4.54;Concrete
5.12;Concrete
7.8;Concrete
11.51;Concrete
3.83;Concrete
5.87;Concrete
21.47;Concrete
5.02;Concrete
6.03;Concrete
1.62;Concrete
2.82;Concrete
3.67;Concrete
3.22;Concrete
1.82;Concrete
1.73;Concrete
1.82;Concrete
2.2;Concrete
2.2;Concrete
2.15;Concrete
1.6;Concrete
2.2;Concrete
6.38;Concrete
1.82;Concrete
7.99;Concrete
5.41;Concrete
8.98;Concrete
4.83;Concrete
3.51;Concrete
5.55;Concrete
4.82;Concrete
5.7;Concrete
1.48;Concrete
3.53;Concrete
3.04;Concrete
1.72;Concrete
1.64;Concrete
1.72;Concrete
1.27;Concrete
2.0;Concrete
1.96;Concrete
2.0;Concrete
5.98;Concrete
1.72;Concrete
2.31;Concrete
2.11;Concrete
1.43;Concrete
4.77;Concrete
4.38;Concrete
3.79;Concrete
4.21;Concrete
5.53;Concrete
2.77;Concrete
5.38;Concrete
2.25;Concrete
1.36;Concrete
2.61;Concrete
8.11;Concrete
7.55;Concrete
8.98;Concrete
4.34;Concrete
9.18;Concrete
3.41;Concrete
5.55;Concrete
4.82;Concrete
5.71;Concrete
1.48;Concrete
17.54;Concrete
3.53;Concrete
3.04;Concrete
1.72;Concrete
1.64;Concrete
1.72;Concrete
1.27;Concrete
2.0;Concrete
1.96;Concrete
2.0;Concrete
5.69;Concrete
1.72;Concrete
1.46;Concrete
0.78;Concrete
10.29;Concrete
1.61;Concrete
1.61;Concrete
1.61;Concrete
1.61;Concrete
0.75;Concrete
1.61;Concrete
1.61;Concrete
1.88;Concrete
1.35;Concrete
1.35;Concrete
1.88;Concrete
4.36;Concrete
1.88;Concrete
8.53;Concrete
7.59;Concrete
8.98;Concrete
4.34;Concrete
9.18;Concrete
8.77;Concrete
3.5;Concrete
5.55;Concrete
4.82;Concrete
5.73;Concrete
1.48;Concrete
17.59;Concrete
3.53;Concrete
1.88;Concrete
5.98;Concrete
1.61;Concrete
1.61;Concrete
1.61;Concrete
1.61;Concrete
1.88;Concrete
1.94;Concrete
1.89;Concrete
4.36;Concrete
1.48;Concrete
1.88;Concrete
2.86;Concrete
1.62;Concrete
1.5;Concrete
1.62;Concrete
1.19;Concrete
1.62;Concrete
1.98;Concrete
1.84;Concrete
1.34;Concrete
1.88;Concrete
7.59;Concrete
8.98;Concrete
8.75;Concrete
4.34;Concrete
9.18;Concrete
8.77;Concrete
3.51;Concrete
5.55;Concrete
4.81;Concrete
5.71;Concrete
1.48;Concrete
16.36;Concrete
1.88;Concrete
5.98;Concrete
9.04;Concrete
1.6;Concrete
1.61;Concrete
1.61;Concrete
1.61;Concrete
1.54;Concrete
1.61;Concrete
1.61;Concrete
1.88;Concrete
1.94;Concrete
1.94;Concrete
1.88;Concrete
2.61;Concrete
1.88;Concrete
2.86;Concrete
1.62;Concrete
1.5;Concrete
1.62;Concrete
1.19;Concrete
1.62;Concrete
1.84;Concrete
1.34;Concrete
1.88;Concrete
7.29;Concrete
7.29;Concrete
5.95;Concrete
3.34;Concrete
7.85;Concrete
6.95;Concrete
6.94;Concrete
6.81;Concrete
9.89;Concrete
10.71;Concrete
10.79;Concrete
10.79;Concrete
3.37;Concrete
3.96;Concrete
1.2;Concrete
3.24;Concrete
0.32;Concrete
1.65;Concrete
1.98;Concrete
1.11;Concrete
1.11;Concrete
7.56;Concrete
8.98;Concrete
8.75;Concrete
4.34;Concrete
9.15;Concrete
9.42;Concrete
8.74;Concrete
3.51;Concrete
5.55;Concrete
4.81;Concrete
5.7;Concrete
1.48;Concrete
15.2;Concrete
1.88;Concrete
5.69;Concrete
2.86;Concrete
1.62;Concrete
1.5;Concrete
1.62;Concrete
1.19;Concrete
1.62;Concrete
1.84;Concrete
0.73;Concrete
1.88;Concrete
3.38;Concrete
6.81;Concrete
10.79;Concrete
9.52;Concrete
1.57;Concrete
24.98;Concrete
7.66;Concrete
8.98;Concrete
4.34;Concrete
9.23;Concrete
8.83;Concrete
3.51;Concrete
5.55;Concrete
4.81;Concrete
5.74;Concrete
1.48;Concrete
16.36;Concrete
1.88;Concrete
5.98;Concrete
2.86;Concrete
1.62;Concrete
1.5;Concrete
1.62;Concrete
1.19;Concrete
1.62;Concrete
1.84;Concrete
1.88;Concrete
3.38;Concrete
6.81;Concrete
10.79;Concrete
10.1;Concrete
1.57;Concrete
28.04;Concrete
1.34;Concrete
1.98;Concrete
1.37;Concrete
7.63;Concrete
8.98;Concrete
8.75;Concrete
4.34;Concrete
9.24;Concrete
8.83;Concrete
3.51;Concrete
5.55;Concrete
4.81;Concrete
5.76;Concrete
1.48;Concrete
15.2;Concrete
6.46;Concrete
1.88;Concrete
1.96;Concrete
1.62;Concrete
2.83;Concrete
1.62;Concrete
1.62;Concrete
1.16;Concrete
0.77;Concrete
1.81;Concrete
1.94;Concrete
2.86;Concrete
1.62;Concrete
1.5;Concrete
1.62;Concrete
1.19;Concrete
1.62;Concrete
1.84;Concrete
1.88;Concrete
3.38;Concrete
6.81;Concrete
10.79;Concrete
9.52;Concrete
1.57;Concrete
24.99;Concrete
1.41;Concrete
1.41;Concrete
1.62;Concrete
1.62;Concrete
0.73;Concrete
1.37;Concrete
1.94;Concrete
1.61;Concrete
0.71;Concrete
1.11;Concrete
1.61;Concrete
0.71;Concrete
1.35;Concrete
1.11;Concrete
1.61;Concrete
0.7;Concrete
1.94;Concrete
2.44;Concrete
7.65;Concrete
8.98;Concrete
8.75;Concrete
4.34;Concrete
9.24;Concrete
8.83;Concrete
3.51;Concrete
5.55;Concrete
4.81;Concrete
5.76;Concrete
1.48;Concrete
16.4;Concrete
3.38;Concrete
6.81;Concrete
10.79;Concrete
10.1;Concrete
2.34;Concrete
28.09;Concrete
20.16;Concrete
1.47;Concrete
6.14;Concrete
7.68;Concrete
8.98;Concrete
8.75;Concrete
4.34;Concrete
9.24;Concrete
8.83;Concrete
3.51;Concrete
5.55;Concrete
4.81;Concrete
5.76;Concrete
1.48;Concrete
15.23;Concrete
3.38;Concrete
6.81;Concrete
10.79;Concrete
9.52;Concrete
2.34;Concrete
25.04;Concrete
20.87;Concrete
14.97;Concrete
7.08;Concrete
7.68;Concrete
8.98;Concrete
8.75;Concrete
4.34;Concrete
9.24;Concrete
8.83;Concrete
3.51;Concrete
5.55;Concrete
4.81;Concrete
5.76;Concrete
1.48;Concrete
16.4;Concrete
3.38;Concrete
6.81;Concrete
10.77;Concrete
10.1;Concrete
2.34;Concrete
26.72;Concrete
22.04;Concrete
15.56;Concrete
7.08;Concrete
7.98;Concrete
9.29;Concrete
4.5;Concrete
9.51;Concrete
9.06;Concrete
3.6;Concrete
5.53;Concrete
5.0;Concrete
5.97;Concrete
1.55;Concrete
15.89;Concrete
3.53;Concrete
7.04;Concrete
11.09;Concrete
9.92;Concrete
2.44;Concrete
26.16;Concrete
21.69;Concrete
15.53;Concrete
7.36;Concrete
2.53;Concrete
2.26;Concrete
2.68;Concrete
1.63;Concrete
4.7;Concrete
5.23;Concrete
3.25;Concrete
1.4;Concrete
3.54;Concrete
9.95;Concrete
1.06;Concrete
1.64;Concrete
1.54;Concrete
1.54;Concrete
1.54;Concrete
1.59;Concrete
6.68;Concrete
3.14;Concrete
4.27;Concrete
3.41;Concrete
3.21;Concrete
2.46;Concrete
2.54;Concrete
2.08;Concrete
7.15;Concrete
1.21;Concrete
0.69;Concrete
1.95;Concrete
7.36;Concrete
7.36;Concrete
8.31;Concrete
8.32;Concrete
8.16;Concrete
0.58;Concrete
3.78;Concrete
1.46;Concrete
0.76;Concrete
3.34;Concrete
0.93;Concrete
